Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000233, 81.0547,0.000233, 81.0547
2,0.000144,128.7031,0.000188,104.8789
3,0.000082,128.7266,0.000153,112.8281
4,0.000018,132.5078,0.000119,117.7480
5,0.000078,132.5312,0.000111,120.7047
6,0.000070,132.5312,0.000104,122.6758
7,0.000122,132.5312,0.000107,124.0837
8,0.000077,132.5391,0.000103,125.1406
9,0.000016,132.5312,0.000093,125.9618
10,0.000070,132.5312,0.000091,126.6188
11,0.000082,132.5312,0.000090,127.1562
12,0.000034,132.5312,0.000085,127.6042
13,0.000079,132.5547,0.000085,127.9850
14,0.000024,132.5547,0.000081,128.3114
15,0.000020,132.5547,0.000077,128.5943
16,0.000077,132.6016,0.000077,128.8447
17,0.000080,132.5547,0.000077,129.0630
18,0.000081,132.5547,0.000077,129.2569
19,0.000081,132.5547,0.000077,129.4305
20,0.000024,132.5547,0.000075,129.5867
21,0.000037,132.5547,0.000073,129.7281
22,0.000079,132.5547,0.000073,129.8565
23,0.000134,132.5547,0.000076,129.9738
24,0.000016,132.5547,0.000073,130.0814
25,0.000103,132.5547,0.000074,130.1803
26,0.000067,132.5547,0.000074,130.2716
27,0.000074,132.5547,0.000074,130.3562
28,0.000016,132.5547,0.000072,130.4347
29,0.000030,132.5547,0.000071,130.5078
30,0.000080,132.5547,0.000071,130.5760
31,0.000080,132.5547,0.000071,130.6399
32,0.000084,132.5547,0.000072,130.6997
33,0.000079,132.5547,0.000072,130.7559
34,0.000079,132.5547,0.000072,130.8088
35,0.000081,132.5547,0.000072,130.8587
36,0.000031,132.5547,0.000071,130.9058
37,0.000081,132.5547,0.000071,130.9504
38,0.000082,132.6172,0.000072,130.9942
39,0.000015,132.5547,0.000070,131.0343
40,0.000084,132.5547,0.000071,131.0723
41,0.000080,132.5547,0.000071,131.1084
42,0.000079,132.5547,0.000071,131.1429
43,0.000065,132.5547,0.000071,131.1757
44,0.000061,132.5547,0.000071,131.2070
45,0.000079,132.5547,0.000071,131.2370
46,0.000079,132.5547,0.000071,131.2656
47,0.000081,132.5547,0.000071,131.2931
48,0.000078,132.5547,0.000071,131.3193
49,0.000016,132.5547,0.000070,131.3445
50,0.000018,132.5547,0.000069,131.3688
51,0.000016,132.5547,0.000068,131.3920
52,0.000017,132.5547,0.000067,131.4144
53,0.000017,132.5547,0.000066,131.4359
54,0.000139,132.6016,0.000068,131.4575
55,0.000080,132.5547,0.000068,131.4774
56,0.000017,132.5547,0.000067,131.4967
57,0.000079,132.6172,0.000067,131.5163
58,0.000018,132.5547,0.000066,131.5342
59,0.000017,132.5547,0.000065,131.5515
60,0.000017,132.5547,0.000065,131.5682
61,0.000081,132.5547,0.000065,131.5844
62,0.000082,132.5547,0.000065,131.6001
63,0.000030,132.5547,0.000065,131.6152
64,0.000076,132.6172,0.000065,131.6309
65,0.000025,132.5547,0.000064,131.6451
66,0.000035,132.5547,0.000064,131.6589
67,0.000078,132.6172,0.000064,131.6732
68,0.000041,132.6172,0.000064,131.6870
69,0.000017,132.5547,0.000063,131.6996
70,0.000076,132.6172,0.000063,131.7127
71,0.000080,132.5547,0.000063,131.7246
72,0.000051,132.5547,0.000063,131.7361
73,0.000023,132.6016,0.000063,131.7480
74,0.000079,132.5547,0.000063,131.7589
75,0.000083,132.5547,0.000063,131.7695
76,0.000033,132.5547,0.000063,131.7798
77,0.000016,132.5547,0.000062,131.7899
78,0.000082,132.5547,0.000062,131.7997
79,0.000080,132.5547,0.000063,131.8092
80,0.000078,132.6016,0.000063,131.8191
81,0.000093,132.5547,0.000063,131.8282
82,0.000105,132.5547,0.000064,131.8371
83,0.000016,132.6172,0.000063,131.8465
84,0.000020,132.5547,0.000063,131.8549
85,0.000016,132.5547,0.000062,131.8631
86,0.000015,132.5547,0.000061,131.8712
87,0.000080,132.5547,0.000062,131.8790
88,0.000024,132.5547,0.000061,131.8867
89,0.000028,132.5547,0.000061,131.8942
90,0.000017,132.5547,0.000060,131.9016
91,0.000017,132.5547,0.000060,131.9087
92,0.000018,132.5547,0.000059,131.9158
93,0.000016,132.5547,0.000059,131.9226
94,0.000054,132.5547,0.000059,131.9294
95,0.000080,132.5547,0.000059,131.9359
96,0.000026,132.5547,0.000059,131.9424
97,0.000080,132.5547,0.000059,131.9487
98,0.000016,132.6172,0.000059,131.9555
99,0.000072,132.5547,0.000059,131.9616
100,0.000079,132.5547,0.000059,131.9675
101,0.000079,132.5547,0.000059,131.9733
102,0.000039,132.5547,0.000059,131.9790
103,0.000137,132.5547,0.000060,131.9846
104,0.000084,132.5547,0.000060,131.9901
105,0.000126,132.5547,0.000061,131.9955
106,0.000080,132.5547,0.000061,132.0007
