Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000561, 97.9453,0.000561, 97.9453
2,0.001232,145.5859,0.000897,121.7656
3,0.000974,145.6016,0.000922,129.7109
4,0.001165,149.3672,0.000983,134.6250
5,0.000181,149.3672,0.000823,137.5734
6,0.000177,149.3906,0.000715,139.5430
7,0.000182,149.3906,0.000639,140.9498
8,0.000958,149.3906,0.000679,142.0049
9,0.000167,149.3906,0.000622,142.8255
10,0.000941,149.3906,0.000654,143.4820
11,0.000180,149.3906,0.000611,144.0192
12,0.001269,149.3906,0.000666,144.4668
13,0.000690,149.3906,0.000667,144.8456
14,0.000900,149.3906,0.000684,145.1702
15,0.000996,149.3906,0.000705,145.4516
16,0.000877,149.3906,0.000716,145.6978
17,0.001018,149.3906,0.000733,145.9150
18,0.000939,149.3906,0.000745,146.1081
19,0.000178,149.3906,0.000715,146.2808
20,0.000177,149.3906,0.000688,146.4363
21,0.000178,149.3906,0.000664,146.5770
22,0.000164,149.3906,0.000641,146.7049
23,0.001402,149.3906,0.000674,146.8217
24,0.000175,149.3906,0.000653,146.9287
25,0.000409,149.3906,0.000644,147.0272
26,0.000280,149.4141,0.000630,147.1190
27,0.000381,149.4141,0.000620,147.2040
28,0.000357,149.4141,0.000611,147.2829
29,0.001041,149.4141,0.000626,147.3564
30,0.001002,149.4141,0.000638,147.4250
31,0.000647,149.4141,0.000639,147.4892
32,0.000222,149.4141,0.000626,147.5493
33,0.000840,149.4141,0.000632,147.6058
34,0.001704,149.4141,0.000664,147.6590
35,0.000175,149.4141,0.000650,147.7092
36,0.000756,149.4141,0.000653,147.7565
37,0.000251,149.4141,0.000642,147.8013
38,0.000986,149.4141,0.000651,147.8438
39,0.000673,149.4141,0.000651,147.8840
40,0.000605,149.4141,0.000650,147.9223
41,0.000191,149.4141,0.000639,147.9587
42,0.000191,149.4141,0.000628,147.9933
43,0.000792,149.4141,0.000632,148.0263
44,0.000171,149.4141,0.000622,148.0579
45,0.000177,149.4141,0.000612,148.0880
46,0.000178,149.4141,0.000602,148.1168
47,0.000178,149.4141,0.000593,148.1444
48,0.000178,149.4141,0.000585,148.1709
49,0.000569,149.4141,0.000584,148.1963
50,0.000571,149.4141,0.000584,148.2206
51,0.000177,149.4141,0.000576,148.2440
52,0.000417,149.4141,0.000573,148.2665
53,0.000188,149.4141,0.000566,148.2882
54,0.000178,149.4141,0.000559,148.3090
55,0.000789,149.4141,0.000563,148.3291
56,0.000745,149.4141,0.000566,148.3485
57,0.000171,149.4141,0.000559,148.3672
58,0.000177,149.4141,0.000553,148.3852
59,0.000555,149.4141,0.000553,148.4027
60,0.001060,149.4141,0.000561,148.4195
61,0.000683,149.4141,0.000563,148.4358
62,0.000343,149.4141,0.000560,148.4516
63,0.001192,149.4141,0.000570,148.4669
64,0.001004,149.4141,0.000576,148.4817
65,0.000246,149.4141,0.000571,148.4960
66,0.000216,149.4141,0.000566,148.5099
67,0.000190,149.4141,0.000560,148.5234
68,0.000933,149.4219,0.000566,148.5366
69,0.000583,149.4141,0.000566,148.5494
70,0.000428,149.4141,0.000564,148.5617
71,0.000931,149.4141,0.000569,148.5737
72,0.000180,149.4141,0.000564,148.5854
73,0.000382,149.4141,0.000561,148.5967
74,0.000343,149.4141,0.000558,148.6078
75,0.000390,149.4141,0.000556,148.6185
76,0.000997,149.4141,0.000562,148.6290
77,0.000883,149.4141,0.000566,148.6392
78,0.000203,149.4141,0.000561,148.6491
79,0.000175,149.4141,0.000557,148.6588
80,0.000182,149.4141,0.000552,148.6683
81,0.000963,149.4141,0.000557,148.6775
82,0.001003,149.4141,0.000562,148.6865
83,0.000176,149.4141,0.000558,148.6952
84,0.000954,149.4141,0.000562,148.7038
