Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.001816,95.80,0.001816,95.80
2,0.000932,126.61,0.001374,111.21
3,0.000931,94.79,0.001226,105.74
4,0.000922,125.13,0.001150,110.58
5,0.000926,94.76,0.001105,107.42
6,0.000925,125.10,0.001075,110.37
7,0.000923,94.45,0.001054,108.09
8,0.000909,124.79,0.001036,110.18
9,0.000906,94.76,0.001021,108.47
10,0.000922,125.10,0.001011,110.13
11,0.000915,94.45,0.001002,108.70
12,0.000923,124.79,0.000996,110.05
13,0.000922,94.76,0.000990,108.87
14,0.000929,125.10,0.000986,110.03
15,0.000917,94.45,0.000981,108.99
16,0.000923,124.79,0.000978,109.98
17,0.000920,94.76,0.000974,109.08
18,0.000928,125.10,0.000972,109.97
19,0.000937,94.45,0.000970,109.16
20,0.000922,124.79,0.000967,109.94
21,0.000922,94.76,0.000965,109.21
22,0.000919,125.10,0.000963,109.94
23,0.000922,94.45,0.000961,109.26
24,0.000919,124.79,0.000960,109.91
25,0.000921,94.76,0.000958,109.30
26,0.000936,125.10,0.000957,109.91
27,0.000915,94.45,0.000956,109.34
28,0.000927,124.79,0.000955,109.89
29,0.000930,94.76,0.000954,109.37
30,0.000924,125.10,0.000953,109.89
31,0.000930,94.45,0.000952,109.40
32,0.000930,124.79,0.000951,109.88
33,0.000911,94.76,0.000950,109.42
34,0.000921,125.10,0.000949,109.88
35,0.000924,94.45,0.000949,109.44
36,0.000928,124.79,0.000948,109.87
37,0.000925,94.76,0.000947,109.46
38,0.000925,125.10,0.000947,109.87
39,0.000948,94.45,0.000947,109.47
40,0.000941,124.79,0.000947,109.86
41,0.000911,94.76,0.000946,109.49
42,0.000926,125.10,0.000945,109.86
43,0.000928,94.45,0.000945,109.50
44,0.000914,124.79,0.000944,109.85
45,0.000917,94.76,0.000944,109.51
46,0.000924,125.10,0.000943,109.85
47,0.000930,94.45,0.000943,109.52
48,0.000921,124.79,0.000942,109.84
49,0.000924,94.76,0.000942,109.53
50,0.000909,125.10,0.000941,109.85
51,0.000939,94.45,0.000941,109.54
52,0.000918,124.79,0.000941,109.84
53,0.000913,94.76,0.000940,109.55
54,0.000926,125.10,0.000940,109.84
55,0.000916,94.45,0.000940,109.56
56,0.000922,124.79,0.000939,109.83
57,0.000917,94.76,0.000939,109.57
58,0.000922,125.10,0.000939,109.84
59,0.000930,94.45,0.000939,109.58
60,0.000909,124.79,0.000938,109.83
61,0.000925,94.76,0.000938,109.58
62,0.000912,125.10,0.000937,109.83
63,0.000923,94.45,0.000937,109.59
64,0.000934,124.79,0.000937,109.83
65,0.000910,94.45,0.000937,109.59
66,0.000918,124.79,0.000936,109.82
67,0.000924,94.45,0.000936,109.59
68,0.000911,124.79,0.000936,109.81
69,0.000912,94.45,0.000936,109.59
70,0.000916,124.79,0.000935,109.81
71,0.000925,94.45,0.000935,109.59
72,0.000919,124.79,0.000935,109.80
73,0.000921,94.45,0.000935,109.59
74,0.000937,124.79,0.000935,109.80
75,0.000927,94.45,0.000935,109.59
76,0.000915,124.79,0.000934,109.79
77,0.000911,94.45,0.000934,109.59
78,0.000928,124.79,0.000934,109.79
79,0.000930,94.45,0.000934,109.60
80,0.000914,124.79,0.000934,109.79
81,0.000910,94.45,0.000933,109.60
82,0.000924,124.79,0.000933,109.78
