Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000142,40.52,0.000142,40.52
2,0.000079,41.85,0.000110,41.18
3,0.000077,46.33,0.000099,42.90
4,0.000072,51.17,0.000093,44.97
5,0.000081,50.18,0.000090,46.01
6,0.000078,55.74,0.000088,47.63
7,0.000081,55.73,0.000087,48.79
8,0.000077,60.22,0.000086,50.22
9,0.000080,39.05,0.000085,48.97
10,0.000080,42.96,0.000085,48.37
11,0.000078,47.39,0.000084,48.28
12,0.000074,47.38,0.000083,48.21
13,0.000078,50.16,0.000083,48.36
14,0.000079,55.21,0.000083,48.85
15,0.000079,59.01,0.000082,49.53
16,0.000081,58.49,0.000082,50.09
17,0.000077,41.24,0.000082,49.57
18,0.000078,45.04,0.000082,49.31
19,0.000082,44.51,0.000082,49.06
20,0.000077,48.42,0.000081,49.03
21,0.000078,52.85,0.000081,49.21
22,0.000081,52.85,0.000081,49.38
23,0.000083,55.62,0.000081,49.65
24,0.000076,60.68,0.000081,50.11
25,0.000080,39.03,0.000081,49.66
26,0.000083,41.81,0.000081,49.36
27,0.000078,45.72,0.000081,49.23
28,0.000078,49.64,0.000081,49.24
29,0.000077,53.44,0.000081,49.39
30,0.000080,52.92,0.000081,49.50
31,0.000083,55.70,0.000081,49.70
32,0.000077,60.18,0.000081,50.03
33,0.000077,39.05,0.000081,49.70
34,0.000077,41.83,0.000081,49.47
35,0.000074,46.88,0.000080,49.39
36,0.000080,51.15,0.000080,49.44
37,0.000086,50.16,0.000080,49.46
38,0.000076,54.07,0.000080,49.58
39,0.000077,58.50,0.000080,49.81
40,0.000079,58.49,0.000080,50.03
41,0.000076,41.75,0.000080,49.83
42,0.000084,41.74,0.000080,49.63
43,0.000078,45.65,0.000080,49.54
44,0.000076,50.08,0.000080,49.55
45,0.000085,50.07,0.000080,49.57
46,0.000078,53.98,0.000080,49.66
47,0.000077,58.41,0.000080,49.85
48,0.000084,58.40,0.000080,50.03
49,0.000077,40.69,0.000080,49.84
50,0.000080,45.06,0.000080,49.74
51,0.000083,44.54,0.000080,49.64
52,0.000080,48.45,0.000080,49.61
53,0.000080,52.88,0.000080,49.68
54,0.000082,52.87,0.000080,49.74
55,0.000084,55.64,0.000080,49.84
56,0.000079,60.70,0.000080,50.04
57,0.000080,39.04,0.000080,49.84
58,0.000076,42.95,0.000080,49.73
59,0.000076,47.38,0.000080,49.69
60,0.000083,47.37,0.000080,49.65
61,0.000082,50.15,0.000080,49.66
62,0.000076,55.21,0.000080,49.74
63,0.000077,59.01,0.000080,49.89
64,0.000077,58.48,0.000080,50.03
65,0.000078,41.24,0.000080,49.89
66,0.000081,45.04,0.000080,49.82
67,0.000077,44.51,0.000080,49.74
68,0.000079,48.42,0.000080,49.72
69,0.000072,52.85,0.000080,49.76
70,0.000078,52.85,0.000080,49.81
71,0.000072,55.62,0.000080,49.89
