Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000872,95.56,0.000872,95.56
2,0.001368,126.37,0.001120,110.97
3,0.000866,94.49,0.001035,105.48
4,0.000887,124.83,0.000998,110.31
5,0.000871,94.16,0.000973,107.08
6,0.000877,124.50,0.000957,109.99
7,0.000869,94.40,0.000944,107.76
8,0.000871,124.74,0.000935,109.88
9,0.000900,94.41,0.000931,108.16
10,0.000923,124.75,0.000930,109.82
11,0.000877,94.12,0.000926,108.39
12,0.000816,124.46,0.000916,109.73
13,0.001652,94.12,0.000973,108.53
14,0.000881,124.46,0.000966,109.67
15,0.000864,94.40,0.000960,108.65
16,0.000846,124.74,0.000952,109.66
17,0.000910,94.41,0.000950,108.76
18,0.000999,124.75,0.000953,109.65
19,0.000879,94.12,0.000949,108.83
20,0.000878,124.46,0.000945,109.61
21,0.000817,94.40,0.000939,108.89
22,0.000820,124.74,0.000934,109.61
23,0.000952,94.40,0.000935,108.95
24,0.000884,124.74,0.000932,109.61
25,0.000875,94.12,0.000930,108.99
26,0.000871,124.46,0.000928,109.58
27,0.000817,94.40,0.000924,109.02
28,0.000863,124.74,0.000922,109.58
29,0.000881,94.12,0.000920,109.05
30,0.000874,124.46,0.000919,109.56
31,0.000843,94.40,0.000916,109.07
32,0.000820,124.74,0.000913,109.56
33,0.000866,94.12,0.000912,109.09
34,0.000873,124.46,0.000911,109.55
35,0.000875,94.40,0.000910,109.11
36,0.001160,124.74,0.000917,109.55
37,0.000873,94.40,0.000915,109.14
38,0.000868,124.74,0.000914,109.55
39,0.000872,94.12,0.000913,109.15
40,0.000878,124.46,0.000912,109.53
41,0.000865,94.13,0.000911,109.16
42,0.000868,124.47,0.000910,109.52
43,0.000851,94.41,0.000909,109.17
44,0.000823,124.75,0.000907,109.53
45,0.000886,94.13,0.000906,109.18
46,0.000882,124.47,0.000906,109.52
47,0.000871,94.14,0.000905,109.19
48,0.000868,124.48,0.000904,109.51
49,0.000865,94.42,0.000903,109.20
50,0.000883,124.76,0.000903,109.51
51,0.000924,94.40,0.000903,109.21
52,0.000872,124.74,0.000903,109.51
53,0.000869,94.13,0.000902,109.22
54,0.000865,124.47,0.000901,109.51
55,0.000873,94.41,0.000901,109.23
56,0.000946,124.75,0.000902,109.51
57,0.000874,94.42,0.000901,109.24
58,0.000865,124.75,0.000901,109.51
59,0.000866,94.13,0.000900,109.25
60,0.000870,124.47,0.000900,109.50
61,0.000865,94.40,0.000899,109.26
62,0.000866,124.74,0.000898,109.51
63,0.000868,94.40,0.000898,109.27
64,0.000814,124.74,0.000897,109.51
65,0.000886,94.41,0.000897,109.27
66,0.000869,124.75,0.000896,109.51
67,0.000890,94.12,0.000896,109.28
68,0.000862,124.46,0.000895,109.50
69,0.000838,94.42,0.000895,109.28
70,0.001093,124.76,0.000897,109.51
71,0.000849,94.39,0.000897,109.29
72,0.000865,124.73,0.000896,109.51
73,0.000831,94.13,0.000895,109.30
74,0.000887,124.47,0.000895,109.50
75,0.000866,94.41,0.000895,109.30
76,0.000874,124.75,0.000895,109.50
77,0.000828,94.42,0.000894,109.31
78,0.000820,124.75,0.000893,109.51
79,0.000902,94.11,0.000893,109.31
80,0.001062,124.45,0.000895,109.50
81,0.000910,94.12,0.000895,109.31
82,0.000884,124.46,0.000895,109.49
83,0.000890,94.12,0.000895,109.31
84,0.000814,124.46,0.000894,109.49
85,0.000875,94.41,0.000894,109.31
86,0.000908,124.75,0.000894,109.49
87,0.000991,94.42,0.000895,109.32
88,0.000874,124.76,0.000895,109.49
89,0.000818,94.40,0.000894,109.32
90,0.000824,124.74,0.000893,109.50
91,0.000843,94.12,0.000893,109.33
92,0.001422,124.46,0.000898,109.49
93,0.000854,94.41,0.000898,109.33
94,0.000830,124.75,0.000897,109.49
95,0.000873,94.12,0.000897,109.33
96,0.000843,124.46,0.000896,109.49
97,0.000816,94.41,0.000896,109.33
98,0.000873,124.75,0.000895,109.49
99,0.000861,94.41,0.000895,109.34
100,0.000869,124.75,0.000895,109.49
101,0.000866,94.40,0.000895,109.34
102,0.000868,124.74,0.000894,109.49
103,0.000867,94.12,0.000894,109.35
104,0.000888,124.46,0.000894,109.49
105,0.000878,94.41,0.000894,109.35
106,0.000814,124.75,0.000893,109.49
107,0.000867,94.40,0.000893,109.35
108,0.000811,124.74,0.000892,109.49
109,0.000815,94.11,0.000891,109.35
110,0.000915,124.45,0.000892,109.49
111,0.000835,94.40,0.000891,109.35
112,0.000852,124.74,0.000891,109.49
113,0.000865,94.40,0.000890,109.36
114,0.000866,124.74,0.000890,109.49
115,0.000865,94.41,0.000890,109.36
116,0.000952,124.75,0.000891,109.49
117,0.000869,94.41,0.000890,109.37
118,0.000866,124.75,0.000890,109.50
119,0.000845,94.12,0.000890,109.37
120,0.000863,124.46,0.000890,109.49
121,0.000855,94.13,0.000889,109.37
122,0.001005,124.47,0.000890,109.49
123,0.000864,94.41,0.000890,109.37
124,0.000879,124.75,0.000890,109.49
125,0.000814,94.41,0.000889,109.37
126,0.000867,124.75,0.000889,109.49
127,0.000818,94.12,0.000889,109.37
128,0.001387,124.46,0.000892,109.49
129,0.000920,94.12,0.000893,109.37
130,0.000869,124.46,0.000893,109.49
131,0.000868,94.40,0.000892,109.37
132,0.000896,124.74,0.000892,109.49
133,0.000969,94.12,0.000893,109.37
134,0.000867,124.46,0.000893,109.48
135,0.000892,94.13,0.000893,109.37
136,0.000892,124.47,0.000893,109.48
137,0.000873,94.12,0.000893,109.37
138,0.000890,124.46,0.000893,109.48
139,0.001507,94.13,0.000897,109.37
140,0.000874,124.47,0.000897,109.48
141,0.000870,94.12,0.000897,109.37
142,0.000865,124.46,0.000896,109.47
143,0.000873,94.13,0.000896,109.37
144,0.000812,124.47,0.000896,109.47
145,0.000867,94.13,0.000895,109.37
