Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.003292,263.38,0.003292,263.38
2,0.003857,264.14,0.003574,263.76
3,0.003359,264.15,0.003503,263.89
4,0.003345,264.15,0.003463,263.95
5,0.003363,264.15,0.003443,263.99
6,0.003707,264.15,0.003487,264.02
7,0.003320,264.15,0.003463,264.04
8,0.003390,264.15,0.003454,264.05
9,0.004343,264.15,0.003553,264.06
10,0.003418,264.15,0.003539,264.07
11,0.003343,264.15,0.003522,264.08
12,0.003291,264.15,0.003502,264.08
13,0.003282,264.15,0.003485,264.09
14,0.003317,264.15,0.003473,264.09
15,0.003276,264.15,0.003460,264.10
16,0.004060,264.15,0.003498,264.10
17,0.003310,264.15,0.003487,264.10
18,0.003335,264.15,0.003478,264.11
19,0.003358,264.15,0.003472,264.11
20,0.003390,264.15,0.003468,264.11
21,0.003986,264.15,0.003492,264.11
22,0.003391,264.15,0.003488,264.11
23,0.004344,264.15,0.003525,264.11
24,0.004490,264.15,0.003565,264.12
25,0.005602,264.15,0.003647,264.12
26,0.003262,264.15,0.003632,264.12
27,0.003409,264.15,0.003624,264.12
28,0.003359,264.15,0.003614,264.12
29,0.003411,264.15,0.003607,264.12
30,0.003639,264.15,0.003608,264.12
31,0.003351,264.15,0.003600,264.12
32,0.003461,264.15,0.003596,264.12
33,0.003316,264.15,0.003587,264.12
34,0.003382,264.15,0.003581,264.13
35,0.003490,264.15,0.003579,264.13
36,0.003312,264.15,0.003571,264.13
37,0.003259,264.15,0.003563,264.13
38,0.003255,264.15,0.003555,264.13
39,0.003326,264.15,0.003549,264.13
40,0.003199,264.15,0.003540,264.13
41,0.004306,264.15,0.003559,264.13
42,0.003239,264.15,0.003551,264.13
43,0.005408,264.15,0.003594,264.13
44,0.006077,264.15,0.003651,264.13
45,0.006433,264.15,0.003713,264.13
46,0.003417,264.15,0.003706,264.13
47,0.003607,264.15,0.003704,264.13
48,0.003321,264.15,0.003696,264.13
49,0.005321,264.15,0.003729,264.13
50,0.003225,264.15,0.003719,264.13
51,0.003377,264.15,0.003712,264.13
52,0.003306,264.15,0.003705,264.13
53,0.003442,264.15,0.003700,264.13
54,0.003407,264.15,0.003694,264.13
55,0.003507,264.15,0.003691,264.13
56,0.003301,264.15,0.003684,264.13
57,0.003293,264.15,0.003677,264.13
58,0.004627,264.15,0.003693,264.14
59,0.003301,264.15,0.003687,264.14
60,0.003353,264.15,0.003681,264.14
61,0.003312,264.15,0.003675,264.14
62,0.003295,264.15,0.003669,264.14
63,0.003304,264.15,0.003663,264.14
64,0.003087,264.15,0.003654,264.14
65,0.003372,264.15,0.003650,264.14
66,0.003412,264.15,0.003646,264.14
67,0.005327,264.15,0.003671,264.14
68,0.003286,264.15,0.003666,264.14
69,0.003345,264.15,0.003661,264.14
70,0.003320,264.15,0.003656,264.14
71,0.003317,264.15,0.003651,264.14
72,0.003348,264.15,0.003647,264.14
73,0.003327,264.15,0.003643,264.14
74,0.003312,264.15,0.003638,264.14
75,0.003512,264.15,0.003637,264.14
76,0.003320,264.15,0.003632,264.14
77,0.003402,264.15,0.003629,264.14
78,0.003214,264.15,0.003624,264.14
79,0.003325,264.15,0.003620,264.14
80,0.003274,264.15,0.003616,264.14
81,0.003474,264.15,0.003614,264.14
82,0.003328,264.15,0.003611,264.14
83,0.003372,264.15,0.003608,264.14
84,0.003317,264.15,0.003604,264.14
85,0.003331,264.15,0.003601,264.14
86,0.003087,264.15,0.003595,264.14
87,0.003327,264.15,0.003592,264.14
88,0.003266,264.15,0.003588,264.14
89,0.003366,264.15,0.003586,264.14
90,0.004444,264.15,0.003595,264.14
91,0.003324,264.15,0.003592,264.14
92,0.003166,264.15,0.003588,264.14
93,0.003317,264.15,0.003585,264.14
94,0.003183,264.15,0.003581,264.14
95,0.003487,264.15,0.003580,264.14
96,0.003129,264.15,0.003575,264.14
97,0.003281,264.15,0.003572,264.14
