Frame,CalcTime_s,MemUsage_KB,AvgTime_s,AvgMem_KB
1,0.000018,25655.1250,0.000018,25655.1250
2,0.000018,25672.1250,0.000018,25663.6250
3,0.000159,25685.0781,0.000065,25670.7760
4,0.000017,25698.0312,0.000053,25677.5898
5,0.000067,25710.9844,0.000056,25684.2687
6,0.000073,25723.9375,0.000059,25690.8802
7,0.000018,25736.8906,0.000053,25697.4531
8,0.000016,25749.8438,0.000048,25704.0020
9,0.000021,25762.7969,0.000045,25710.5347
10,0.000018,25776.0312,0.000043,25717.0844
11,0.000100,25788.9844,0.000048,25723.6207
12,0.000024,25801.9375,0.000046,25730.1471
13,0.000087,25814.8906,0.000049,25736.6659
14,0.000058,25827.8438,0.000050,25743.1786
15,0.000118,25840.7969,0.000054,25749.6865
16,0.000100,25853.7500,0.000057,25756.1904
17,0.000045,25866.7031,0.000056,25762.6912
18,0.000102,25879.9375,0.000059,25769.2049
19,0.000100,25892.8906,0.000061,25775.7146
20,0.000119,25905.8438,0.000064,25782.2211
21,0.000017,25918.7969,0.000062,25788.7247
22,0.000054,25931.7500,0.000061,25795.2259
23,0.000136,25944.7031,0.000065,25801.7249
24,0.000080,25957.6562,0.000065,25808.2220
25,0.000099,25970.6094,0.000067,25814.7175
26,0.000116,25983.8438,0.000068,25821.2224
27,0.000018,25996.7969,0.000067,25827.7251
28,0.000038,26009.7500,0.000066,25834.2260
29,0.000044,26022.7031,0.000065,25840.7252
30,0.000037,26035.6562,0.000064,25847.2229
31,0.000067,26048.6094,0.000064,25853.7193
32,0.000063,26061.5625,0.000064,25860.2144
33,0.000057,26074.5156,0.000064,25866.7083
34,0.000019,26087.7500,0.000062,25873.2096
35,0.000101,26100.7031,0.000064,25879.7094
36,0.000018,26113.6562,0.000062,25886.2079
37,0.000018,26126.6094,0.000061,25892.7052
38,0.000116,26139.5625,0.000063,25899.2015
39,0.000047,26152.5156,0.000062,25905.6967
40,0.000045,26165.4688,0.000062,25912.1910
